id,timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,flags,message_content,label
1,2024-10-28 15:47:42,192.168.1.138,192.168.1.100,UDP,58960,161,123,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
2,2024-10-28 15:47:44,192.168.1.138,192.168.1.100,UDP,63219,123,192,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
3,2024-10-28 15:47:44,192.168.1.138,192.168.1.100,UDP,51947,53,178,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
4,2024-10-28 15:47:46,192.168.1.100,192.168.1.138,TCP,64770,443,34,FIN,Warning: Connection terminated unexpectedly.,normal
5,2024-10-28 15:47:48,192.168.1.100,192.168.1.138,TCP,65341,80,107,ACK,Acknowledgment received. Continuing print job.,normal
6,2024-10-28 15:47:50,192.168.1.138,192.168.1.100,TCP,63823,443,32,SYN,G-code: G28 ; Home all axes (Handshake initiated),normal
7,2024-10-28 15:47:51,192.168.1.138,192.168.1.100,UDP,57303,123,30,,G-code: M104 S200 ; Set extruder temperature,normal
8,2024-10-28 15:47:53,192.168.1.100,192.168.1.138,TCP,50647,443,144,FIN,Warning: Connection terminated unexpectedly.,normal
9,2024-10-28 15:47:55,192.168.1.138,192.168.1.100,TCP,59546,80,137,SYN,G-code: G28 ; Home all axes (Handshake initiated),normal
10,2024-10-28 15:47:56,192.168.1.100,192.168.1.138,TCP,64973,22,46,RST,Warning: Connection terminated unexpectedly.,normal
11,2024-10-28 15:47:58,192.168.1.100,192.168.1.138,TCP,57848,22,59,FIN,Warning: Connection terminated unexpectedly.,normal
12,2024-10-28 15:47:59,192.168.1.138,192.168.1.100,UDP,59557,161,74,,G-code: M104 S200 ; Set extruder temperature,normal
13,2024-10-28 15:48:00,192.168.1.100,192.168.1.138,TCP,58499,22,30,FIN,Warning: Connection terminated unexpectedly.,normal
14,2024-10-28 15:48:00,192.168.1.100,192.168.1.138,TCP,53097,22,49,RST,Warning: Connection terminated unexpectedly.,normal
15,2024-10-28 15:48:02,192.168.1.138,192.168.1.100,UDP,49410,123,54,,G-code: M104 S200 ; Set extruder temperature,normal
16,2024-10-28 15:48:03,192.168.1.138,192.168.1.100,TCP,58408,80,43,SYN,G-code: G28 ; Home all axes (Handshake initiated),normal
17,2024-10-28 15:48:04,192.168.1.100,192.168.1.138,TCP,59912,443,120,FIN,Warning: Connection terminated unexpectedly.,normal
18,2024-10-28 15:48:07,192.168.1.138,192.168.1.100,UDP,59298,53,156,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
19,2024-10-28 15:48:07,192.168.1.100,192.168.1.138,TCP,58996,22,194,RST,Warning: Connection terminated unexpectedly.,normal
20,2024-10-28 15:48:09,192.168.1.138,192.168.1.100,UDP,61482,161,43,,G-code: M104 S200 ; Set extruder temperature,normal
21,2024-10-28 15:48:11,192.168.1.138,192.168.1.100,UDP,61859,123,172,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
22,2024-10-28 15:48:12,192.168.1.138,192.168.1.100,UDP,51507,53,87,,G-code: M104 S200 ; Set extruder temperature,normal
23,2024-10-28 15:48:14,192.168.1.100,192.168.1.138,TCP,49659,443,177,FIN,Warning: Connection terminated unexpectedly.,normal
24,2024-10-28 15:48:15,192.168.1.138,192.168.1.100,UDP,58375,161,179,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
25,2024-10-28 15:48:15,192.168.1.138,192.168.1.100,UDP,61698,161,179,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
26,2024-10-28 15:48:17,192.168.1.138,192.168.1.100,TCP,60521,22,135,SYN-ACK,G-code: G28 ; Home all axes (Handshake initiated),normal
27,2024-10-28 15:48:18,192.168.1.138,192.168.1.100,UDP,58125,161,155,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
28,2024-10-28 15:48:20,192.168.1.138,192.168.1.100,UDP,63539,161,121,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
29,2024-10-28 15:48:23,192.168.1.138,192.168.1.100,TCP,51074,80,151,SYN,G-code: G28 ; Home all axes (Handshake initiated),normal
30,2024-10-28 15:48:24,192.168.1.100,192.168.1.138,TCP,57227,443,33,RST,Warning: Connection terminated unexpectedly.,normal
31,2024-10-28 15:48:26,192.168.1.100,192.168.1.138,TCP,51847,22,56,FIN,Warning: Connection terminated unexpectedly.,normal
32,2024-10-28 15:48:28,192.168.1.138,192.168.1.100,TCP,60569,80,194,SYN,G-code: G28 ; Home all axes (Handshake initiated),normal
33,2024-10-28 15:48:29,192.168.1.138,192.168.1.100,UDP,49244,123,158,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
34,2024-10-28 15:48:31,192.168.1.138,192.168.1.100,UDP,65357,161,95,,G-code: M104 S200 ; Set extruder temperature,normal
35,2024-10-28 15:48:32,192.168.1.100,192.168.1.138,TCP,54669,80,151,ACK,Acknowledgment received. Continuing print job.,normal
36,2024-10-28 15:48:33,192.168.1.138,192.168.1.100,TCP,65534,22,142,SYN-ACK,G-code: G28 ; Home all axes (Handshake initiated),normal
37,2024-10-28 15:48:35,192.168.1.100,192.168.1.138,TCP,55422,443,97,FIN,Warning: Connection terminated unexpectedly.,normal
38,2024-10-28 15:48:36,192.168.1.100,192.168.1.138,TCP,51790,80,55,ACK,Acknowledgment received. Continuing print job.,normal
39,2024-10-28 15:48:37,192.168.1.100,192.168.1.138,TCP,61013,80,90,ACK,Acknowledgment received. Continuing print job.,normal
40,2024-10-28 15:48:38,192.168.1.100,192.168.1.138,TCP,62358,443,72,ACK,Acknowledgment received. Continuing print job.,normal
41,2024-10-28 15:48:40,192.168.1.100,192.168.1.138,TCP,61592,443,137,FIN,Warning: Connection terminated unexpectedly.,normal
42,2024-10-28 15:48:42,192.168.1.138,192.168.1.100,UDP,55933,53,63,,G-code: M104 S200 ; Set extruder temperature,normal
43,2024-10-28 15:48:44,192.168.1.138,192.168.1.100,TCP,64313,80,165,SYN,G-code: G28 ; Home all axes (Handshake initiated),normal
44,2024-10-28 15:48:46,192.168.1.138,192.168.1.100,TCP,64879,80,159,SYN,G-code: G28 ; Home all axes (Handshake initiated),normal
45,2024-10-28 15:48:48,192.168.1.138,192.168.1.100,UDP,55284,123,128,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
46,2024-10-28 15:48:48,192.168.1.100,192.168.1.138,TCP,55759,22,152,RST,Warning: Connection terminated unexpectedly.,normal
47,2024-10-28 15:48:50,192.168.1.100,192.168.1.138,TCP,53154,22,69,RST,Warning: Connection terminated unexpectedly.,normal
48,2024-10-28 15:48:52,192.168.1.138,192.168.1.100,UDP,50863,53,96,,G-code: M104 S200 ; Set extruder temperature,normal
49,2024-10-28 15:48:54,192.168.1.138,192.168.1.100,UDP,57488,123,74,,G-code: M104 S200 ; Set extruder temperature,normal
50,2024-10-28 15:48:55,192.168.1.100,192.168.1.138,TCP,60101,22,95,ACK,Acknowledgment received. Continuing print job.,normal
51,2024-10-28 15:48:55,192.168.1.138,192.168.1.100,UDP,56828,123,55,,G-code: M104 S200 ; Set extruder temperature,normal
52,2024-10-28 15:48:57,192.168.1.100,192.168.1.138,TCP,58763,80,110,ACK,Acknowledgment received. Continuing print job.,normal
53,2024-10-28 15:48:58,192.168.1.100,192.168.1.138,TCP,50567,443,37,ACK,Acknowledgment received. Continuing print job.,normal
54,2024-10-28 15:49:00,192.168.1.100,192.168.1.138,TCP,58921,443,200,ACK,Acknowledgment received. Continuing print job.,normal
55,2024-10-28 15:49:02,192.168.1.138,192.168.1.100,TCP,53578,80,47,SYN-ACK,G-code: G28 ; Home all axes (Handshake initiated),normal
56,2024-10-28 15:49:04,192.168.1.138,192.168.1.100,UDP,51284,123,80,,G-code: M104 S200 ; Set extruder temperature,normal
57,2024-10-28 15:49:06,192.168.1.138,192.168.1.100,UDP,61622,161,182,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
58,2024-10-28 15:49:07,192.168.1.100,192.168.1.138,TCP,56579,80,199,FIN,Warning: Connection terminated unexpectedly.,normal
59,2024-10-28 15:49:09,192.168.1.138,192.168.1.100,UDP,62347,161,102,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
60,2024-10-28 15:49:09,192.168.1.138,192.168.1.100,UDP,59865,53,200,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
61,2024-10-28 15:49:10,192.168.1.138,192.168.1.100,UDP,63719,53,64,,G-code: M104 S200 ; Set extruder temperature,normal
62,2024-10-28 15:49:11,192.168.1.138,192.168.1.100,UDP,49794,123,62,,G-code: M104 S200 ; Set extruder temperature,normal
63,2024-10-28 15:49:13,192.168.1.100,192.168.1.138,TCP,60271,443,90,ACK,Acknowledgment received. Continuing print job.,normal
64,2024-10-28 15:49:13,192.168.1.138,192.168.1.100,UDP,59952,123,56,,G-code: M104 S200 ; Set extruder temperature,normal
65,2024-10-28 15:49:14,192.168.1.138,192.168.1.100,TCP,58933,443,54,SYN,G-code: G28 ; Home all axes (Handshake initiated),normal
66,2024-10-28 15:49:16,192.168.1.100,192.168.1.138,TCP,63026,443,109,ACK,Acknowledgment received. Continuing print job.,normal
67,2024-10-28 15:49:17,192.168.1.138,192.168.1.100,UDP,57895,53,165,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
68,2024-10-28 15:49:19,192.168.1.100,192.168.1.138,TCP,57052,443,193,ACK,Acknowledgment received. Continuing print job.,normal
69,2024-10-28 15:49:21,192.168.1.138,192.168.1.100,TCP,57571,80,50,SYN,G-code: G28 ; Home all axes (Handshake initiated),normal
70,2024-10-28 15:49:23,192.168.1.100,192.168.1.138,TCP,59502,22,90,RST,Warning: Connection terminated unexpectedly.,normal
71,2024-10-28 15:49:25,192.168.1.138,192.168.1.100,UDP,62590,161,74,,G-code: M104 S200 ; Set extruder temperature,normal
72,2024-10-28 15:49:26,192.168.1.138,192.168.1.100,UDP,60460,53,111,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
73,2024-10-28 15:49:28,192.168.1.100,192.168.1.138,TCP,62644,80,106,FIN,Warning: Connection terminated unexpectedly.,normal
74,2024-10-28 15:49:30,192.168.1.100,192.168.1.138,TCP,65309,80,103,RST,Warning: Connection terminated unexpectedly.,normal
75,2024-10-28 15:49:31,192.168.1.138,192.168.1.100,UDP,57650,123,121,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
76,2024-10-28 15:49:31,192.168.1.138,192.168.1.100,UDP,55889,53,168,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
77,2024-10-28 15:49:33,192.168.1.138,192.168.1.100,TCP,51941,443,161,SYN-ACK,G-code: G28 ; Home all axes (Handshake initiated),normal
78,2024-10-28 15:49:34,192.168.1.138,192.168.1.100,UDP,52956,123,86,,G-code: M104 S200 ; Set extruder temperature,normal
79,2024-10-28 15:49:37,192.168.1.100,192.168.1.138,TCP,58067,22,87,FIN,Warning: Connection terminated unexpectedly.,normal
80,2024-10-28 15:49:39,192.168.1.138,192.168.1.100,UDP,53040,53,84,,G-code: M104 S200 ; Set extruder temperature,normal
81,2024-10-28 15:49:41,192.168.1.138,192.168.1.100,UDP,52141,53,147,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received),normal
