id,timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,flags,message_content
1,2024-10-28 15:47:42,192.168.1.138,192.168.1.100,UDP,58960,161,123,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received)
2,2024-10-28 15:47:44,192.168.1.138,192.168.1.100,UDP,63219,123,192,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received)
3,2024-10-28 15:47:44,192.168.1.138,192.168.1.100,UDP,51947,53,178,,G-code: G1 X100 Y100 Z0.2 ; Move to next layer (Data packet received)
4,2024-10-28 15:47:46,192.168.1.100,192.168.1.138,TCP,64770,443,34,FIN,Warning: Connection terminated unexpectedly.
5,2024-10-28 15:47:48,192.168.1.100,192.168.1.138,TCP,65341,80,107,ACK,Acknowledgment received. Continuing print job.
6,2024-10-28 15:47:50,192.168.1.138,192.168.1.100,TCP,63823,443,32,SYN,G-code: G28 ; Home all axes (Handshake initiated)
7,2024-10-28 15:47:51,192.168.1.138,192.168.1.100,UDP,57303,123,30,,G-code: M104 S200 ; Set extruder temperature
8,2024-10-28 15:47:53,192.168.1.100,192.168.1.138,TCP,50647,443,144,FIN,Warning: Connection terminated unexpectedly.
9,2024-10-28 15:47:55,192.168.1.138,192.168.1.100,TCP,59546,80,137,SYN,G-code: G28 ; Home all axes (Handshake initiated)
10,2024-10-28 15:47:56,192.168.1.100,192.168.1.138,TCP,64973,22,46,RST,Warning: Connection terminated unexpectedly.
11,2024-10-28 15:47:58,192.168.1.100,192.168.1.138,TCP,57848,22,59,FIN,Warning: Connection terminated unexpectedly.
12,2024-10-28 15:47:59,192.168.1.138,192.168.1.100,UDP,59557,161,74,,G-code: M104 S200 ; Set extruder temperature
13,2024-10-28 15:48:00,192.168.1.100,192.168.1.138,TCP,58499,22,30,FIN,Warning: Connection terminated unexpectedly.
14,2024-10-28 15:48:00,192.168.1.100,192.168.1.138,TCP,53097,22,49,RST,Warning: Connection terminated unexpectedly.
15,2024-10-28 15:48:02,192.168.1.138,192.168.1.100,UDP,49410,123,54,,G-code: M104 S200 ; Set extruder temperature
16,2024-10-28 15:48:03,192.168.1.138,192.168.1.100,TCP,58408,80,43,SYN,G-code: G28 ; Home all axes (Handshake initiated)
17,2024-10-28 15:48:04,192.168.1.100,192.168.1.138,TCP,59912,443,120,FIN,Warning: Connection terminated unexpectedly.
